6 1060 461
29 442 324
41 479 264
60 804 1044
73 229 345
80 716 1119
88 806 615
120 877 320
130 826 1128
135 995 515
277 307 867
301 423 703
307 618 384
309 657 911
316 638 894
347 1088 553
359 599 871
392 760 1002
403 1084 637
412 530 724
433 771 449
468 667 583
492 837 688
537 645 648
603 1051 682
625 837 644
724 1040 1140
745 772 1132
0 796 920 980
6 998 810 536
8 511 947 399
12 1061 901 762
13 968 675 435
25 955 843 388
25 689 25 689
25 689 965 881
25 456 1021 388
44 267 416 1046
46 285 907 631
47 864 280 1110
57 203 415 1086
58 779 123 1054
66 306 886 430
67 283 995 652
69 733 85 664
70 380 939 1115
78 459 159 1097
78 164 933 1097
80 716 536 400
86 1056 297 440
100 675 692 333
103 639 566 981
103 356 838 1067
105 448 841 248
109 665 418 209
111 600 991 648
116 178 563 806
129 1102 881 483
131 817 383 561
154 1002 570 990
172 960 942 266
173 369 173 369
173 638 248 369
176 468 954 289
178 563 607 818
179 609 220 326
185 636 948 1124
200 626 719 377
202 229 202 229
203 415 846 703
203 415 1000 703
206 508 478 264
214 500 788 638
220 751 223 429
227 458 464 382
229 302 423 1020
236 739 572 757
245 695 396 977
251 336 1081 874
261 606 367 809
270 763 809 1136
295 1058 1005 412
312 1054 312 1054
330 1086 330 1086
353 910 777 872
365 1117 762 851
370 808 377 841
446 933 684 1093
458 942 612 1116
466 937 832 468
477 827 477 827
507 722 1032 1090
522 746 668 1090
587 927 948 788
611 844 760 954
864 938 864 938
1080 1128 1080 1128
